Image tag,Version,Arch,Build date,Tools list
nightly,dd8dab7f,amd64,"2025-05-21T23:09:45Z",[download](</assets/installed_tools/lists/latest_nightly_amd64.csv>)
nightly,dd8dab7f,arm64,"2025-05-21T22:41:28Z",[download](</assets/installed_tools/lists/latest_nightly_arm64.csv>)
