Image tag,Version,Arch,Build date,Tools list
nightly,c9160a14,amd64,2025-05-09T22:30:09Z,:download:`nightly_c9160a14_amd64.csv       </assets/installed_tools/lists/latest_nightly_amd64.csv>`
nightly,c9160a14,arm64,2025-05-09T21:04:14Z,:download:`nightly_c9160a14_arm64.csv       </assets/installed_tools/lists/latest_nightly_arm64.csv>`
