Image tag,Version,Arch,Build date,Tools list
nightly,2a0d4418,amd64,"2025-07-04T19:42:12Z",[download](</installed_tools/lists/latest_nightly_amd64.csv>)
nightly,2a0d4418,arm64,"2025-07-04T19:14:06Z",[download](</installed_tools/lists/latest_nightly_arm64.csv>)
