Image tag,Version,Arch,Build date,Tools list
free,3.1.14,arm64,"2026-03-02T03:12:23Z",[download](</installed_tools/lists/latest_free_arm64.csv>)
free,3.1.14,amd64,"2026-03-02T03:11:29Z",[download](</installed_tools/lists/latest_free_amd64.csv>)
